,FWHMx_mm,FWHMy_mm,FWHMz_mm,volume_vox
2861,13.0933,14.0325,13.1957,210284
2862,8.97875,9.25459,8.41984,210284
2863,14.746,17.3251,15.9811,210284
2864,9.01992,9.67186,8.6753,210284
2865,8.39375,8.53585,8.50018,210284
2866,11.2061,11.8687,11.0266,210284
2867,11.2061,11.8687,11.0266,210284
2868,11.2176,11.6419,11.0634,210284
2869,10.0949,10.2366,9.81114,210284
2870,12.6317,13.4854,12.5804,210284
2871,14.1585,16.3891,12.819,210284
2872,8.38897,8.44612,8.25796,210284
2873,9.01261,9.38616,8.57527,210284
2874,11.2176,11.6419,11.0634,210284
2875,12.0628,13.8433,10.7666,210284
2876,12.0731,11.8644,11.0716,210284
2877,8.39375,8.53585,8.50018,210284
2878,10.0949,10.2366,9.81114,210284
2879,13.7726,16.6399,14.0909,210284
2880,12.5426,13.2101,11.7968,225024
2881,13.9663,14.863,13.5437,225024
2882,13.996,15.5034,13.7162,225024
2883,7.98699,8.11788,7.83121,225024
2884,13.9416,14.7651,13.1745,225024
2885,13.9308,15.2351,13.0879,225024
28869,13.2677,13.2009,10.0768,169374
2886,9.00327,9.42275,9.10099,225024
28870,11.9806,11.5912,9.51974,169374
28871,12.0504,11.889,10.3191,169374
28872,11.0988,10.6683,9.61706,169374
2887,10.185,10.7434,10.8999,225024
2912,14.6495,16.8479,16.1584,228483
2913,14.7892,15.4542,14.9802,228483
2914,12.781,13.5651,12.8141,228483
2915,13.3081,14.1023,13.5241,228483
2916,12.0349,12.4914,11.147,228483
2917,14.3394,14.2862,13.7346,228483
2918,13.8643,14.323,13.6172,228483
2919,11.6401,11.4703,10.7013,228483
2920,17.632,18.7181,19.9757,228483
2921,17.121,18.3399,16.9239,228483
2922,17.9695,19.2195,20.4446,228483
2923,18.6458,20.0827,20.0244,228483
2924,14.3851,14.9431,13.7527,228483
2925,16.1753,17.2646,18.0517,228483
2926,18.0069,19.6023,19.4257,228483
2927,13.8267,14.6038,12.6422,228483
2928,18.3687,19.7487,19.3555,228483
2929,16.9207,19.4086,19.9423,228483
2959,7.05407,7.0187,7.35707,230923
2960,6.3803,6.37182,6.61616,230985
2961,6.42158,6.44407,6.57316,230985
2962,7.84362,7.93771,8.20901,230923
2963,7.86026,8.12867,8.46955,230923
2964,6.44873,6.47596,6.75679,230985
3039,9.17107,9.21617,10.2735,228316
3040,9.2402,9.23203,10.1464,228316
3041,12.7118,12.6468,13.1564,228316
3078,14.1614,13.9376,13.7128,166597
3079,11.5886,11.5728,11.1647,166435
3080,11.9507,11.8931,10.8151,165867
3081,10.2216,10.2061,9.28351,166471
3082,15.6162,14.9615,15.8971,158817
3083,18.39,18.3771,18.2713,166503
3085,19.4431,19.4453,19.3009,167277
3087,18.1947,18.5609,17.96,166503
3128,12.7552,13.0223,11.7024,283702
3129,13.5349,14.318,13.5771,283702
